representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
CAPTION_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=0.3,0.7230213089802131,0.6813186813186813,0.6588235294117647
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Balanced Logistic C=0.3,0.7203196347031964,0.6593406593406593,0.651685393258427
CAPTION_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=1,0.7202435312024353,0.6593406593406593,0.6172839506172839
CAPTION_TAGS,"(1, 1)","(3, 5)",Balanced Logistic C=0.3,0.7147640791476408,0.6593406593406593,0.651685393258427
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Balanced Logistic C=0.1,0.7119863013698631,0.6593406593406593,0.6593406593406593
CAPTION_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=0.3,0.7092085235920853,0.6813186813186813,0.6666666666666666
CAPTION_TAGS,"(1, 1)","(3, 5)",Balanced Logistic C=0.1,0.7092085235920853,0.6703296703296703,0.6666666666666666
CAPTION_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=1,0.7091324200913242,0.6703296703296703,0.6341463414634146
CAPTION_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=0.3,0.7064307458143074,0.6703296703296703,0.6511627906976745
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Balanced Logistic C=3,0.706392694063927,0.6263736263736264,0.5641025641025641
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Balanced Logistic C=3,0.7063546423135465,0.6263736263736264,0.5526315789473685
CAPTION_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=0.1,0.7036910197869102,0.6923076923076923,0.6888888888888889
CAPTION_TAGS,"(1, 2)","(3, 5)",Balanced Logistic C=0.1,0.7036529680365298,0.6593406593406593,0.651685393258427
CAPTION_TAGS,"(1, 3)","(3, 6)",Balanced Logistic C=0.1,0.7036529680365298,0.6593406593406593,0.651685393258427
CAPTION_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=3,0.7036529680365297,0.6153846153846154,0.5454545454545454
TAGS_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=1,0.7036149162861493,0.6483516483516484,0.5789473684210527
CAPTION_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=1,0.7036149162861491,0.6593406593406593,0.6172839506172839
CAPTION_TAGS,"(1, 2)","(3, 5)",Balanced Logistic C=0.3,0.7009132420091324,0.6703296703296703,0.6590909090909091
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Balanced Logistic C=0.1,0.7009132420091324,0.6593406593406593,0.651685393258427
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Balanced Logistic C=0.1,0.7009132420091324,0.6593406593406593,0.651685393258427
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Balanced Logistic C=0.3,0.7009132420091324,0.6593406593406593,0.6436781609195402
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Balanced Logistic C=0.1,0.7009132420091324,0.6483516483516484,0.6444444444444445
CAPTION_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=0.1,0.700875190258752,0.6923076923076923,0.6888888888888889
CAPTION_TAGS,"(1, 3)","(3, 6)",Balanced Logistic C=3,0.7008371385083715,0.5934065934065934,0.5194805194805194
CAPTION_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=0.1,0.7008371385083714,0.6923076923076923,0.6888888888888889
CAPTION_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=1,0.6981354642313546,0.6703296703296703,0.6428571428571429
